Date,AIR.PA_momentum,BNP.PA_momentum,DG.PA_momentum,KER.PA_momentum,MC.PA_momentum,OR.PA_momentum,RI.PA_momentum,SAN.PA_momentum,SU.PA_momentum,TTE.PA_momentum,AIR.PA_rolling_mean_return,BNP.PA_rolling_mean_return,DG.PA_rolling_mean_return,KER.PA_rolling_mean_return,MC.PA_rolling_mean_return,OR.PA_rolling_mean_return,RI.PA_rolling_mean_return,SAN.PA_rolling_mean_return,SU.PA_rolling_mean_return,TTE.PA_rolling_mean_return,AIR.PA_rolling_volatility,BNP.PA_rolling_volatility,DG.PA_rolling_volatility,KER.PA_rolling_volatility,MC.PA_rolling_volatility,OR.PA_rolling_volatility,RI.PA_rolling_volatility,SAN.PA_rolling_volatility,SU.PA_rolling_volatility,TTE.PA_rolling_volatility,AIR.PA_price_vs_ma,BNP.PA_price_vs_ma,DG.PA_price_vs_ma,KER.PA_price_vs_ma,MC.PA_price_vs_ma,OR.PA_price_vs_ma,RI.PA_price_vs_ma,SAN.PA_price_vs_ma,SU.PA_price_vs_ma,TTE.PA_price_vs_ma,AIR.PA_risk_adjusted_score,BNP.PA_risk_adjusted_score,DG.PA_risk_adjusted_score,KER.PA_risk_adjusted_score,MC.PA_risk_adjusted_score,OR.PA_risk_adjusted_score,RI.PA_risk_adjusted_score,SAN.PA_risk_adjusted_score,SU.PA_risk_adjusted_score,TTE.PA_risk_adjusted_score
2025-12-03,-0.0670120879646039,0.12534095517285748,0.019206170610254203,-0.02955257901028041,0.037435560668637624,0.018620733640922094,-0.05804252921185116,0.004810465992800994,-0.052631578947368474,0.06259315477512084,-0.003293449532478632,0.006037716012532368,0.0010076759947132696,-0.001296355079194228,0.001938916323415124,0.0009840659405843722,-0.002837667063973914,0.0003056011385624391,-0.0026013356645335993,0.003078105599779196,0.018733896136105314,0.01570283898616929,0.010860346788262622,0.020611700606596204,0.014490050924506916,0.011354496479270159,0.01757237452757469,0.01175224418833723,0.014334743394327679,0.008941870314069029,-0.03021405579179575,0.0606991354128487,0.0003142067273332849,-0.029240023705582284,0.016214686984521144,0.02023899715889688,-0.012113504527010276,-0.01603934774584944,-0.002856738084555279,0.02295554591506312,-0.1758016329625773,0.3844983711448773,0.09278488195260219,-0.06289413493515258,0.13381018006885326,0.08666751030140138,-0.16148455403798886,0.026003640978266396,-0.18147068231182703,0.34423509754286447
2025-12-04,-0.055739228997582435,0.1584023061463451,0.026191530563835608,0.013555382812863837,0.06427439285081182,0.041072645460714874,-0.03770296643789206,-0.01214812414569233,0.010206290527610795,0.0740045172788637,-0.00269984918019619,0.007492415373834327,0.0013483146469859876,0.0008407083691729323,0.003205415775070636,0.0020610584602094974,-0.0017936387096694427,-0.0005420313476905969,0.0006179071728322882,0.0036106625261004555,0.018448500685640825,0.01551466927765854,0.010735925488724915,0.01875942597646211,0.013460279273333974,0.009914126205250933,0.016257912551985387,0.012044669813516765,0.015223365355732944,0.00854332316907407,-0.03284552402188749,0.07333539842744907,-0.00012551969145623056,-0.025086581992312035,0.017592578685010924,0.01695144598660273,-0.022204641163227998,-0.02775223397419183,0.031581474066510934,0.02185610176729461,-0.14634518144325875,0.48292459476552085,0.12558904664549086,0.04481525022289001,0.2381388758716807,0.20789108566298814,-0.11032404707149239,-0.04500176061964926,0.040589393895062206,0.42262974894484545
2025-12-05,-0.054554232138084524,0.1511681455002123,0.04325259938854553,-0.01467148711084243,0.05026756948700695,0.05162919475136252,-0.03942362834382418,-0.005149841161439572,0.02014292299563225,0.052631559723129495,-0.0026372822864860978,0.007179451210814147,0.0021735278401595172,-0.0005923773119484721,0.002543860457091862,0.0025683482203486705,-0.0018834129339300842,-0.00018851750269954226,0.001100725871300451,0.002609295720549548,0.018449995072151334,0.01568718773345341,0.010670346497016741,0.017536307985416097,0.013673640627882067,0.010091511522626209,0.016228340245734194,0.012103679416542588,0.014737635698154646,0.009337658452896738,-0.03171900189841769,0.061629115067698276,0.006971965734156453,-0.02388267080285627,0.0071227949325318235,0.025256633466715087,-0.017934787216759326,-0.02256157742000314,0.021647651537421656,0.005383463156792489,-0.1429421675275592,0.4576633704397982,0.20369796245765787,-0.03378004722779259,0.18604119607360814,0.2545058007009326,-0.116057027731173,-0.015575222724578095,0.07468809067103463,0.27943790552117376
2025-12-08,-0.06167692887914611,0.14059698759619876,0.03420268086141176,-0.05975201633656757,0.02054769137302559,0.03220793944635192,-0.07320839226890619,-0.036977297255492036,0.01777686532244216,0.042190998495550636,-0.0030194890516254346,0.006709715446586139,0.0017347268578375209,-0.00296043997043946,0.0010945081901788001,0.001646261902251711,-0.003666730869176371,-0.0018137771414177383,0.0009834528019616873,0.002109111408786918,0.018149539505432202,0.01532316285072102,0.01043680422050087,0.015535273407757436,0.012742969496621097,0.011250232135812714,0.016341741665895814,0.011992475668824158,0.014661653132114745,0.009268375077542,-0.02179088810179652,0.06904291193820908,0.008210732710423285,-0.03281123734969968,0.0014622704107476534,0.003329789758352626,-0.03547924574717204,-0.03688302007563125,0.02983087884203057,0.0019213067335427632,-0.16636725415108708,0.4378805806576949,0.16621245557428593,-0.19056246341703803,0.08589114103027697,0.14633137186664685,-0.22437821770421248,-0.15124292860838268,0.06707652903120055,0.22755999742581204
2025-12-09,-0.0737440468290338,0.14789041321160346,0.016469567330313017,-0.09521550378655863,-0.017823399497832404,0.03224000665087745,-0.10033251354366601,-0.06535653560215493,-0.003615508640783971,0.021141971739456755,-0.0036621995290211764,0.007032059685255965,0.0008667646333870294,-0.0048839605762244385,-0.0008310547707449711,0.0016478273014602252,-0.0051437216686273934,-0.0033252432344220316,-7.491149099460581e-05,0.0010749733374646187,0.018281759184411373,0.01542384128862859,0.010222929753039626,0.014915838738526808,0.011940131715088306,0.011251131127000127,0.016439660989779125,0.010081211223660326,0.014960271541000124,0.007714255228904852,-0.03110579707912351,0.07718383111650959,0.0023945550823556926,-0.045938171390669434,-0.011909020126611112,0.009562371439176558,-0.04996346246324875,-0.03792021314205661,0.015497995014630924,0.004256165225852363,-0.20031986484888653,0.455921424090407,0.08478632391358365,-0.32743452526135397,-0.06960180930791557,0.14645881226162397,-0.31288489901497063,-0.32984560690661624,-0.0050073617172859035,0.1393489462776339
2025-12-10,-0.0849999981673657,0.11141580485927127,-0.02752291053232525,-0.08069397412689994,-0.03562867962058747,0.03894642661594472,-0.0968345316709418,-0.08265835099600716,-0.02342118762260159,0.009403189005436685,-0.004272683976469338,0.005402368160697002,-0.0013246347050960062,-0.004087810762108924,-0.001757954326430794,0.001972857332495581,-0.004951068915785517,-0.004262052384386544,-0.0010856986767868947,0.0005006017746134461,0.018190069678348266,0.015058655588205563,0.012087349928171417,0.015169452381501495,0.010678847436066815,0.01131180472974385,0.016414537291488472,0.009418375367208923,0.014417999852181566,0.008263270176564523,-0.03402906743182636,0.06411499316077013,-0.027502644008372178,-0.03420261165840679,-0.006079331389670117,0.014757431053183818,-0.0500486998117253,-0.04014488143848012,0.01347685630889821,-0.008464152097362378,-0.23489101757290878,0.3587550116312053,-0.10958851302953863,-0.2694764886235337,-0.16462023050291613,0.17440694739965296,-0.30162707774606745,-0.4525252199254378,-0.07530161519752127,0.06058155717009034
2025-12-11,-0.0807134592331501,0.13047855020665922,-0.006633439861573831,-0.09180022105027097,-0.009741621209501172,0.03578388976278468,-0.05441232019198772,-0.07518800163858197,0.01917749890070386,-0.006228827184126207,-0.0040403804332386885,0.006263669512544878,-0.0002443302157502991,-0.004705711193596751,-0.00043734949854106755,0.0018197199161965494,-0.0026424308883659597,-0.0038534781151376594,0.0010547256342820278,-0.0002861798217707101,0.018166190835231893,0.015480782516476787,0.013628491138167475,0.01423434540423876,0.010446468088519043,0.01127274034102221,0.017819699611349108,0.009933228160612168,0.01485035338774566,0.007404971061940983,-0.0334308373240939,0.08027570564133563,-0.00047970194178508706,-0.019164639293413988,0.004696728625993058,0.01611802265128004,-0.01956444977056463,-0.02515210804128956,0.036987226662682116,-0.007800441258079305,-0.22241208792118872,0.4046093604039858,-0.01792789922767286,-0.33058852093019087,-0.04186577653185259,0.16142657962008353,-0.1482870612859845,-0.38793814587061454,0.07102360507813742,-0.03864698718966998
2025-12-12,-0.06043579093257678,0.13453427663077622,-0.0016736087539658273,-0.07610721820996591,-0.011161074277708516,0.030779930732804273,-0.039999484805313124,-0.06998545484273688,-0.0010608954231919876,-0.011381820216941674,-0.002957149271499615,0.00644109144193068,3.040313012320217e-06,-0.003843765611042926,-0.0005090428614736298,0.001578232987186201,-0.0018844013608480814,-0.003574845791017178,5.761553170660072e-05,-0.000545628961591027,0.017944850000487872,0.015292657433053266,0.01350321420974674,0.014892259621970027,0.010445959011575539,0.01137135508288584,0.018019612924988136,0.009847285174003026,0.015286779372834743,0.007458867618780159,-0.02669292550378549,0.06553681350992989,-0.004568292652157406,-0.00044707189004709164,0.004140520571315955,0.009403896678641836,-0.007903541352857263,-0.025320384679739943,0.020782039647463058,-0.011680633249471167,-0.16479097186207842,0.421188499783499,0.00022515476427276788,-0.2581049289103417,-0.04873107973231958,0.13879022998424165,-0.10457501882490199,-0.36302856349228335,0.003768977774938387,-0.07315171544501288
2025-12-15,-0.05393153708479126,0.15783306438694855,0.013924037541280132,-0.029988835098649358,0.012025973640536813,0.05260190511630847,-0.0345031243397208,-0.10334854798761028,0.04612067650104401,-0.0182204137680243,-0.002609676897739366,0.007459984609733727,0.0007776929012393629,-0.0014035552329077217,0.000639467801321103,0.0026236297213837133,-0.0015994635638553357,-0.005374538801947271,0.002382620835495225,-0.0008933404947319923,0.018150195576418265,0.014976475323127571,0.013441962290112899,0.01568589119963521,0.009347993125185357,0.01097318801399955,0.018018654941515843,0.011641095255791014,0.016300356438708547,0.007331293066912002,-0.013391580107054879,0.07116736665736434,0.001834398416460782,0.02767332509052789,0.006111300826599791,0.015413518093704986,-0.005096444602948327,-0.05198778638210413,0.05000161125234341,-0.01237647382009069,-0.14378230178026302,0.4981135045983464,0.05785560801724516,-0.08947883260470164,0.06840696101907148,0.23909457470668477,-0.0887670899435504,-0.46168669561170683,0.1461698610367318,-0.12185306010529931
2025-12-16,-0.054812567179540306,0.18248609571783803,0.03213369634044727,0.00032281207293416436,0.050210992056709314,0.06240229184669022,0.009578004874290391,-0.07581638788335787,0.056058251057894415,-0.017486933840935692,-0.0026555320598920075,0.008499508308252057,0.0016620321064267141,0.00014068877248337163,0.0024876346065698884,0.0030854847428108236,0.0006014272930952968,-0.003878715800711402,0.0028464357457734625,-0.0008566863207780829,0.01818479165201203,0.013341414895928086,0.012907342761782943,0.01613836274762238,0.00860360659849729,0.010698000600543807,0.016207019482219896,0.010782580494827868,0.01564414867126565,0.007238556968564582,-0.026548437018026866,0.05945496893474882,0.002768102756128808,0.0474282897980933,0.02032882298759916,0.013746744319142017,0.002513146436542001,-0.04425653765206606,0.032239974242665025,-0.029333717772998463,-0.14603038135981009,0.6370769798071552,0.1287664035193818,0.008717660811292577,0.2891385813717215,0.28841695359915953,0.03710906214156772,-0.3597205513626283,0.1819489066222981,-0.11835042875237123
