Date,Close,High,Low,Open,Volume,log_return,cum_return,rolling_vol_21
2000-01-04,5672.02001953125,5925.06982421875,5657.2001953125,5922.22998046875,0,-0.042346794471735054,95.85373074867144,
2000-01-05,5479.7001953125,5589.5,5461.58984375,5521.830078125,0,-0.03449492818137848,92.60364125942112,
2000-01-06,5450.10986328125,5530.259765625,5388.85009765625,5485.93017578125,0,-0.0054146237065539815,92.1035824250869,
2000-01-07,5539.60986328125,5561.68994140625,5423.8798828125,5423.8798828125,0,0.016288309616869303,93.61607865614128,
2000-01-10,5646.1201171875,5717.43994140625,5616.97998046875,5625.81982421875,0,0.01904452785688694,95.41603795895524,
2000-01-11,5613.89990234375,5726.509765625,5571.990234375,5726.509765625,0,-0.005722956571683338,94.87153568504536,
2000-01-12,5582.5,5628.72998046875,5536.5,5541.22998046875,0,-0.005608943042101331,94.34089619956606,
2000-01-13,5633.240234375,5682.27001953125,5579.490234375,5586.25,0,0.009048101949871453,95.1983756772756,
2000-01-14,5787.43994140625,5804.16015625,5664.7099609375,5669.14013671875,0,0.02700523538164437,97.80425808749301,
2000-01-17,5842.77978515625,5857.35986328125,5740.18994140625,5834.75,0,0.009516632137796263,98.73946820033117,
2000-01-18,5672.9501953125,5859.43994140625,5670.27001953125,5859.43994140625,0,-0.029497375145992134,95.86945016055255,
2000-01-19,5649.4599609375,5668.06005859375,5590.18994140625,5664.919921875,0,-0.004149340600365227,95.47247931185119,
2000-01-20,5709.740234375,5727.81982421875,5660.25,5713.0400390625,0,0.010613571073742521,96.49117971834444,
2000-01-21,5681.31982421875,5738.16015625,5630.6298828125,5656.10009765625,0,-0.0049899603692170474,96.01089186084334,
2000-01-24,5690.85986328125,5777.68017578125,5680.60009765625,5687.35986328125,0,0.0016777858884683848,96.17211278962708,
2000-01-25,5597.5,5654.52001953125,5590.169921875,5601.18017578125,0,-0.01654128555735153,94.59438718801093,
2000-01-26,5646.31982421875,5687.43017578125,5618.9599609375,5636.60986328125,0,0.008683904896083653,95.41941288780534,
2000-01-27,5688.35009765625,5727.52978515625,5625.22998046875,5671.64013671875,0,0.007416266440805955,96.12969925835733,
2000-01-28,5731.0498046875,5813.27978515625,5696.08984375,5743.2001953125,0,0.0074784851050665666,96.85129865446785,
2000-01-31,5659.81005859375,5707.8798828125,5625.72021484375,5677.7900390625,0,-0.012508392833079246,95.6473897442101,
2000-02-01,5773.419921875,5798.47021484375,5700.8701171875,5700.8701171875,0,0.019874279269360848,97.56732818022682,0.28873707262080894
2000-02-02,5946.85986328125,5956.14013671875,5811.35986328125,5814.259765625,0,0.029598713806953354,100.49835899241953,0.26614526688921847
2000-02-03,6149.669921875,6149.669921875,5979.06005859375,6025.83984375,0,0.033535082962272554,103.92572714038566,0.25173565860176145
